USER | INTERACTIONS | d                                                                |
_____|______________|__________________________________________________________________|
21068|     2253     | 11001001001111101000110101010010100111011110100111101011101101   |
54232|              |                                                                  |
57902|     3254     | 101000100000110110111010100111110101001101111010011111111001101  |
59519|     4753     | 110100011001111110011000000000011110111011000010010000100111001  |
60659|     3002     | 1000010101001111110010100100100100000110001001110101001101111001 |
60904|     2002     | 101101101111000011000110010101000101111110101101111111100001111  |
60975|     5253     | 111010011010101111101001011111100101000100101110011101110000001  |
61061|     3006     | 101110111101110110101011111111110101010001100101000001000010001  | <------
61637|              |                                                                  |
61830|              |                                                                  |
61924|     2002     | 1001010000110010110011110100001001000110110001110001001110001011 |
62346|     4255     | 1001111100010110111011010010010100011000101011010100001000010011 |
62420|     3757     | 111100111100110001000111001011011110010001111010011001000100001  |
62451|     3002     | 100100011100110110100001100110100000001100000000110111100101     |
62569|     3758     | 10010010110101110110000100101011110011000010111001001101110011   |
62786|     7006     | 101011100100110000011010001100111000010101000001100101111011001  |
62966|     6505     | 1101111100011110110011011000100110001000111111100010000101110011 |
63043|     2252     | 110100111000001001011011011010001001110000100110011001001011011  |
63117|     2753     | 10000011011001101010101000110011000011010010100110010110100101   |
64338|     3512     | 1000110101010001110101111110001010001001101001100100001111000111 |
64444|     4756     | 1101101011010110100101010110001011001110011101010010010100000111 |
64950|     3752     | 1111111100100011001001000001010010110110100001000001101100111    |
65195|     2752     | 101010100000101100100111101101110100011111101011001100101100001  |
66165|     6257     | 1011011101001001001100010111001101000101010100100111101010011011 |
66210|     4002     | 111000011110111110000101101110000000011100000110111010001101001  |
66289|     4752     | 11111100101010011100110111000000110101010101111110110001110011   |
66311|              |                                                                  |
66354|     2003     | 111101001101111000010000011111110110000010010010110010111010111  |
66952|     2502     | 1001000011001111100001100001111111000011101001111110101010011    |
67435|     3752     | 101101101101100010011101100101001011000000110000111100111        |
67638|              |                                                                  |
67655|              |                                                                  |
68443|     4002     | 1111111011101001000011010010111011101011100110100000000110110111 |
68714|     2505     | 100110010101101001101000011100010111010000101011101100010001111  |
